group,TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
A,1,Pre,19,Tom felt the pig with the cloth,felt,pig,cloth,Sentence,1,Mod,tompigcloth_nopauses.mp3,tompigclothmodleft.png,tompigclothinstright.png,tompigclothinstright.png,tompigclothmodleft.png,2,inst,mod,L,R,448,2273,0.005775337,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigclothinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigclothmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tompigcloth_nopauses.mp3?raw=true
A,2,Pre,69,Tom inspected the whale with the microscope,inspected,whale,microscope,Sentence,1,Mod,tomwhalemicroscope_nopauses.mp3,tomwhalemicroscopemodleft.png,tomwhalemicroscopeinstright.png,tomwhalemicroscopeinstright.png,tomwhalemicroscopemodleft.png,2,inst,mod,L,R,481,3193,0.018210304,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomwhalemicroscopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomwhalemicroscopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomwhalemicroscope_nopauses.mp3?raw=true
A,3,Pre,50,Kate glanced at the cow with the glass,glanced,cow,glass,Sentence,1,Mod,katecowglass_nopauses.mp3,katecowglassmodleft.png,katecowglassinstright.png,katecowglassinstright.png,katecowglassmodleft.png,2,inst,mod,L,R,351,2925,0.019572596,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katecowglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katecowglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katecowglass_nopauses.mp3?raw=true
A,4,Pre,61,Tom inspected the dolphin with the telescope,inspected,dolphin,telescope,Sentence,1,Mod,tomdolphintelescope_nopauses.mp3,tomdolphintelescopemodleft.png,tomdolphintelescopeinstright.png,tomdolphintelescopeinstright.png,tomdolphintelescopemodleft.png,2,inst,mod,L,R,518,3190,0.032508349,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomdolphintelescopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomdolphintelescopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomdolphintelescope_nopauses.mp3?raw=true
A,5,Pre,31,Tom moved the pig with the pitchfork,moved,pig,pitchfork,Sentence,1,Mod,tompigpitchfork_nopauses.mp3,tompigpitchforkmodright.png,tompigpitchforkinstleft.png,tompigpitchforkmodright.png,tompigpitchforkinstleft.png,1,mod,inst,R,L,474,2825,0.036138978,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigpitchforkmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigpitchforkinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tompigpitchfork_nopauses.mp3?raw=true
A,6,Pre,6,Kate located the turtle with the magnifying glass,located,turtle,magnifyingglass,Sentence,1,Mod,kateturtlemagnifyingglass_nopauses.mp3,kateturtlemagnifyingglassmodleft.png,kateturtlemagnifyingglassinstright.png,kateturtlemagnifyingglassinstright.png,kateturtlemagnifyingglassmodleft.png,2,inst,mod,L,R,384,3425,0.03970106,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtlemagnifyingglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtlemagnifyingglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kateturtlemagnifyingglass_nopauses.mp3?raw=true
A,7,Pre,22,Kate felt the gorilla with the cloth,felt,gorilla,cloth,Sentence,1,Mod,kategorillacloth_nopauses.mp3,kategorillaclothmodright.png,kategorillaclothinstleft.png,kategorillaclothmodright.png,kategorillaclothinstleft.png,1,mod,inst,R,L,441,2417,0.047694138,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategorillaclothmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategorillaclothinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kategorillacloth_nopauses.mp3?raw=true
A,8,Pre,64,Kate inspected the lion with the telescope,inspected,lion,telescope,Sentence,1,Mod,kateliontelescope_nopauses.mp3,kateliontelescopemodright.png,kateliontelescopeinstleft.png,kateliontelescopemodright.png,kateliontelescopeinstleft.png,1,mod,inst,R,L,355,2889,0.055064053,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateliontelescopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateliontelescopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kateliontelescope_nopauses.mp3?raw=true
A,9,Pre,34,Kate moved the gorilla with the pitchfork,moved,gorilla,pitchfork,Sentence,1,Mod,kategorillapitchfork_nopauses.mp3,kategorillapitchforkmodleft.png,kategorillapitchforkinstright.png,kategorillapitchforkinstright.png,kategorillapitchforkmodleft.png,2,inst,mod,L,R,369,2732,0.077765207,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategorillapitchforkinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategorillapitchforkmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kategorillapitchfork_nopauses.mp3?raw=true
A,10,Pre,36,Kate moved the hawk with the pitchfork,moved,hawk,pitchfork,Sentence,1,Mod,katehawkpitchfork_nopauses.mp3,katehawkpitchforkmodleft.png,katehawkpitchforkinstright.png,katehawkpitchforkinstright.png,katehawkpitchforkmodleft.png,2,inst,mod,L,R,391,2563,0.087572446,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkpitchforkinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkpitchforkmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katehawkpitchfork_nopauses.mp3?raw=true
