TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
1,Post,45,Kate chose the whale with the pen,chose,whale,pen,Sentence,1,Mod,katewhalepen_nopauses.mp3,katewhalepenmodright.png,katewhalepeninstleft.png,katewhalepenmodright.png,katewhalepeninstleft.png,1,mod,inst,R,L,405,2447,0.006840887,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhalepenmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhalepeninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katewhalepen_nopauses.mp3?raw=true
2,Post,27,Kate moved the fox with the pitchfork,moved,fox,pitchfork,Sentence,1,Mod,katefoxpitchfork_nopauses.mp3,katefoxpitchforkmodleft.png,katefoxpitchforkinstright.png,katefoxpitchforkinstright.png,katefoxpitchforkmodleft.png,2,inst,mod,L,R,434,2755,0.020972451,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxpitchforkinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefoxpitchforkmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefoxpitchfork_nopauses.mp3?raw=true
3,Post,49,Kate glanced at the dolphin with the mirror,glanced,dolphin,mirror,Sentence,1,Mod,katedolphinmirror_nopauses.mp3,katedolphinmirrormodleft.png,katedolphinmirrorinstright.png,katedolphinmirrorinstright.png,katedolphinmirrormodleft.png,2,inst,mod,L,R,392,2843,0.023958778,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinmirrorinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katedolphinmirrormodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katedolphinmirror_nopauses.mp3?raw=true
4,Post,21,Kate felt the whale with the brush,felt,whale,brush,Sentence,1,Mod,katewhalebrush_nopauses.mp3,katewhalebrushmodright.png,katewhalebrushinstleft.png,katewhalebrushmodright.png,katewhalebrushinstleft.png,1,mod,inst,R,L,439,2385,0.036490263,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhalebrushmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katewhalebrushinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katewhalebrush_nopauses.mp3?raw=true
5,Post,4,Tom located the lion with the glasses,located,lion,glasses,Sentence,1,Mod,tomlionglasses_nopauses.mp3,tomlionglassesmodright.png,tomlionglassesinstleft.png,tomlionglassesmodright.png,tomlionglassesinstleft.png,1,mod,inst,R,L,614,3187,0.041472731,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionglassesmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomlionglassesinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomlionglasses_nopauses.mp3?raw=true
6,Post,68,Tom inspected the girl with the telescope,inspected,girl,telescope,Sentence,1,Mod,tomgirltelescope_nopauses.mp3,tomgirltelescopemodleft.png,tomgirltelescopeinstright.png,tomgirltelescopeinstright.png,tomgirltelescopemodleft.png,2,inst,mod,L,R,542,2893,0.045471546,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirltelescopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomgirltelescopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomgirltelescope_nopauses.mp3?raw=true
7,Post,31,Kate moved the pig with the tree branch,moved,pig,treebranch,Sentence,1,Mod,katepigtreebranch_nopauses.mp3,katepigtreebranchmodleft.png,katepigtreebranchinstright.png,katepigtreebranchinstright.png,katepigtreebranchmodleft.png,2,inst,mod,L,R,457,2757,0.067626595,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigtreebranchinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katepigtreebranchmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katepigtreebranch_nopauses.mp3?raw=true
8,Post,42,Tom chose the turtle with the baseball bat,chose,turtle,baseball bat,Sentence,1,Mod,tomturtlebaseballbat_nopauses.mp3,tomturtlebaseballbatmodleft.png,tomturtlebaseballbatinstright.png,tomturtlebaseballbatinstright.png,tomturtlebaseballbatmodleft.png,2,inst,mod,L,R,591,3173,0.100543361,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlebaseballbatinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomturtlebaseballbatmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomturtlebaseballbat_nopauses.mp3?raw=true
9,Post,65,Kate inspected the frog with the microscope,inspected,frog,microscope,Sentence,1,Mod,katefrogmicroscope_nopauses.mp3,katefrogmicroscopemodright.png,katefrogmicroscopeinstleft.png,katefrogmicroscopemodright.png,katefrogmicroscopeinstleft.png,1,mod,inst,R,L,382,3006,0.103081982,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogmicroscopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/katefrogmicroscopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/katefrogmicroscope_nopauses.mp3?raw=true
10,Post,36,Tom moved the hawk with the tree branch,moved,hawk,treebranch,Sentence,1,Mod,tomhawktreebranch_nopauses.mp3,tomhawktreebranchmodright.png,tomhawktreebranchinstleft.png,tomhawktreebranchmodright.png,tomhawktreebranchinstleft.png,1,mod,inst,R,L,506,2864,0.119931782,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawktreebranchmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_post/tomhawktreebranchinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_post/tomhawktreebranch_nopauses.mp3?raw=true
