Group,Block,TrialOrder,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
A,Post,1,140,Tom smashed the girl with the flower pot,smashed,girl,flower pot,girloar,Sentence,1,Inst,,tomgirlflowerpot_nopauses.mp3,tomgirlflowerpotinstright_context.png,tomgirlflowerpotmodleft_context.png,tomgirlflowerpotinstright_context.png,tomgirlflowerpotmodleft_context.png,1,inst,mod,L,R,616,3441,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgirlflowerpotinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgirlflowerpotmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomgirlflowerpot_nopauses.mp3?raw=true,0.003891652
A,Post,2,105,Kate crushed the whale with the pear,crushed,whale,pear,whaleladle,Sentence,1,Inst,,katewhalepear_nopauses.mp3,katewhalepearinstright_context.png,katewhalepearmodleft_context.png,katewhalepearinstright_context.png,katewhalepearmodleft_context.png,1,inst,mod,L,R,342,2648,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalepearinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalepearmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katewhalepear_nopauses.mp3?raw=true,0.007507135
A,Post,3,57,Kate tapped the whale with the boots,tapped,whale,boots,whaleladle,Sentence,1,Inst,,katewhaleboots_nopauses.mp3,katewhalebootsinstright_context.png,katewhalebootsmodleft_context.png,katewhalebootsinstright_context.png,katewhalebootsmodleft_context.png,1,inst,mod,L,R,380,2500,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalebootsinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalebootsmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katewhaleboots_nopauses.mp3?raw=true,0.021499092
A,Post,4,119,Kate stung the buffalo with the cactus,stung,buffalo,cactus,buffalooar,Sentence,1,Inst,,katebuffalocactus_nopauses.mp3,katebuffalocactusinstleft_context.png,katebuffalocactusmodright_context.png,katebuffalocactusmodright_context.png,katebuffalocactusinstleft_context.png,2,mod,inst,R,L,335,3187,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalocactusmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalocactusinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katebuffalocactus_nopauses.mp3?raw=true,0.042999065
A,Post,5,67,Kate scratched the pig with the sandpaper,scratched,pig,sandpaper,pigoar,Sentence,1,Inst,,katepigsandpaper_nopauses.mp3,katepigsandpaperinstleft_context.png,katepigsandpapermodright_context.png,katepigsandpapermodright_context.png,katepigsandpaperinstleft_context.png,2,mod,inst,R,L,419,3152,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katepigsandpapermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katepigsandpaperinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katepigsandpaper_nopauses.mp3?raw=true,0.056870141
A,Post,6,77,Kate jabbed the frog with the stick of celery,jabbed,frog,stick of celery,frogmallet,Sentence,1,Inst,,katefrogcelery_nopauses.mp3,katefrogceleryinstright_context.png,katefrogcelerymodleft_context.png,katefrogceleryinstright_context.png,katefrogcelerymodleft_context.png,1,inst,mod,L,R,414,3613,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefrogceleryinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefrogcelerymodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefrogcelery_nopauses.mp3?raw=true,0.065088298
A,Post,7,98,Tom crushed the cow with the flower,crushed,cow,flower,cowmallet,Sentence,1,Inst,,tomcowflower_nopauses.mp3,tomcowflowerinstleft_context.png,tomcowflowermodright_context.png,tomcowflowermodright_context.png,tomcowflowerinstleft_context.png,2,mod,inst,R,L,576,2878,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowflowermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowflowerinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomcowflower_nopauses.mp3?raw=true,0.070717918
A,Post,8,23,Kate hit the buffalo with the ball,hit,buffalo,ball,buffalooar,Sentence,1,Inst,,katebuffaloball_nopauses.mp3,katebuffaloballinstleft_context.png,katebuffaloballmodright_context.png,katebuffaloballmodright_context.png,katebuffaloballinstleft_context.png,2,mod,inst,R,L,376,2218,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffaloballmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffaloballinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katebuffaloball_nopauses.mp3?raw=true,0.071151893
A,Post,9,37,Kate hammered the dolphin with the rock,hammered,dolphin,rock,dolphintennisracket,Sentence,1,Inst,,katedolphinrock_nopauses.mp3,katedolphinrockinstleft_context.png,katedolphinrockmodright_context.png,katedolphinrockmodright_context.png,katedolphinrockinstleft_context.png,2,mod,inst,R,L,404,2801,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinrockmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinrockinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katedolphinrock_nopauses.mp3?raw=true,0.074663771
A,Post,10,20,Tom hit the girl with the ball,hit,girl,ball,girloar,Sentence,1,Inst,,tomgirlball_nopauses.mp3,tomgirlballinstright_context.png,tomgirlballmodleft_context.png,tomgirlballinstright_context.png,tomgirlballmodleft_context.png,1,inst,mod,L,R,521,2287,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgirlballinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgirlballmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomgirlball_nopauses.mp3?raw=true,0.078474344
