Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
C,Post,113,Kate stung the frog with the lightning bolt,stung,frog,lightning bolt,frogtennisracket,Sentence,1,InstControl,katefroglightningbolt_nopauses.mp3,katefroglightningboltinstleft_context.png,katefroglightningboltmodright_context.png,katefroglightningboltmodright_context.png,katefroglightningboltinstleft_context.png,2,mod,inst,R,L,337,3089,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefroglightningboltmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefroglightningboltinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefroglightningbolt_nopauses.mp3?raw=true,0.001777173
C,Post,77,Kate jabbed the frog with the stick of celery,jabbed,frog,stick of celery,frogmallet,Sentence,1,InstControl,katefrogcelery_nopauses.mp3,katefrogceleryinstright_context.png,katefrogcelerymodleft_context.png,katefrogceleryinstright_context.png,katefrogcelerymodleft_context.png,1,inst,mod,L,R,414,3613,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefrogceleryinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katefrogcelerymodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katefrogcelery_nopauses.mp3?raw=true,0.006268506
C,Post,130,Tom slapped the gorilla with the notebook,slapped,gorilla,notebook,gorillaladle,Sentence,1,InstControl,tomgorillanotebook_nopauses.mp3,tomgorillanotebookinstleft_context.png,tomgorillanotebookmodright_context.png,tomgorillanotebookmodright_context.png,tomgorillanotebookinstleft_context.png,2,mod,inst,R,L,618,3251,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgorillanotebookmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgorillanotebookinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomgorillanotebook_nopauses.mp3?raw=true,0.013457783
C,Post,16,Tom hit the lion with the oven mitt,hit,lion,oven mitt,liontennisracket,Sentence,1,InstControl,tomlionovenmitt_nopauses.mp3,tomlionovenmittinstright_context.png,tomlionovenmittmodleft_context.png,tomlionovenmittinstright_context.png,tomlionovenmittmodleft_context.png,1,inst,mod,L,R,500,2483,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionovenmittinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomlionovenmittmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomlionovenmitt_nopauses.mp3?raw=true,0.017852584
C,Post,74,Tom jabbed the cow with the stick of celery,jabbed,cow,stick of celery,cowmallet,Sentence,1,InstControl,tomcowcelery_nopauses.mp3,tomcowceleryinstleft_context.png,tomcowcelerymodright_context.png,tomcowcelerymodright_context.png,tomcowceleryinstleft_context.png,2,mod,inst,R,L,656,3744,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowcelerymodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomcowceleryinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomcowcelery_nopauses.mp3?raw=true,0.018512141
C,Post,21,Kate hit the whale with the ball,hit,whale,ball,whaleoar,Sentence,1,InstControl,katewhaleball_nopauses.mp3,katewhaleballinstleft_context.png,katewhaleballmodright_context.png,katewhaleballmodright_context.png,katewhaleballinstleft_context.png,2,mod,inst,R,L,384,2083,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhaleballmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhaleballinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katewhaleball_nopauses.mp3?raw=true,0.038641833
C,Post,69,Kate scratched the whale with the sandpaper,scratched,whale,sandpaper,whaleoar,Sentence,1,InstControl,katewhalesandpaper_nopauses.mp3,katewhalesandpaperinstleft_context.png,katewhalesandpapermodright_context.png,katewhalesandpapermodright_context.png,katewhalesandpaperinstleft_context.png,2,mod,inst,R,L,391,3102,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalesandpapermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katewhalesandpaperinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katewhalesandpaper_nopauses.mp3?raw=true,0.052382855
C,Post,11,Kate covered the buffalo with the water,covered,buffalo,water,buffaloladle,Sentence,1,InstControl,katebuffalowater_nopauses.mp3,katebuffalowaterinstright_context.png,katebuffalowatermodleft_context.png,katebuffalowaterinstright_context.png,katebuffalowatermodleft_context.png,1,inst,mod,L,R,375,2547,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalowaterinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katebuffalowatermodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katebuffalowater_nopauses.mp3?raw=true,0.056428793
C,Post,104,Tom crushed the girl with the pear,crushed,girl,pear,girlladle,Sentence,1,InstControl,tomgirlpear_nopauses.mp3,tomgirlpearinstleft_context.png,tomgirlpearmodright_context.png,tomgirlpearmodright_context.png,tomgirlpearinstleft_context.png,2,mod,inst,R,L,574,2878,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgirlpearmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/tomgirlpearinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/tomgirlpear_nopauses.mp3?raw=true,0.05802805
C,Post,97,Kate crushed the dolphin with the flower,crushed,dolphin,flower,dolphinmallet,Sentence,1,InstControl,katedolphinflower_nopauses.mp3,katedolphinflowerinstright_context.png,katedolphinflowermodleft_context.png,katedolphinflowerinstright_context.png,katedolphinflowermodleft_context.png,1,inst,mod,L,R,428,2951,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinflowerinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_post/katedolphinflowermodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_post/katedolphinflower_nopauses.mp3?raw=true,0.066828751
