Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
D,Pre,38,Tom hammered the cow with the rock,hammered,cow,rock,cowoar,Sentence,2,InstControl,tomcowrock_nopauses.mp3,tomcowrockinstright2_context.png,tomcowrockmodleft2_context.png,tomcowrockinstright2_context.png,tomcowrockmodleft2_context.png,1,inst,mod,L,R,652,2896,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomcowrockinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomcowrockmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomcowrock_nopauses.mp3?raw=true,0.018626312
D,Pre,97,Kate crushed the dolphin with the flower,crushed,dolphin,flower,dolphinladle,Sentence,2,InstControl,katedolphinflower_nopauses.mp3,katedolphinflowerinstright2_context.png,katedolphinflowermodleft2_context.png,katedolphinflowerinstright2_context.png,katedolphinflowermodleft2_context.png,1,inst,mod,L,R,428,2951,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinflowerinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinflowermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katedolphinflower_nopauses.mp3?raw=true,0.031162561
D,Pre,37,Kate hammered the dolphin with the rock,hammered,dolphin,rock,dolphinoar,Sentence,2,InstControl,katedolphinrock_nopauses.mp3,katedolphinrockinstleft2_context.png,katedolphinrockmodright2_context.png,katedolphinrockmodright2_context.png,katedolphinrockinstleft2_context.png,2,mod,inst,R,L,404,2801,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinrockmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinrockinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katedolphinrock_nopauses.mp3?raw=true,0.042031303
D,Pre,129,Kate slapped the whale with the notebook,slapped,whale,notebook,whalemallet,Sentence,2,InstControl,katewhalenotebook_nopauses.mp3,katewhalenotebookinstright2_context.png,katewhalenotebookmodleft2_context.png,katewhalenotebookinstright2_context.png,katewhalenotebookmodleft2_context.png,1,inst,mod,L,R,387,3017,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhalenotebookinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhalenotebookmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katewhalenotebook_nopauses.mp3?raw=true,0.04383231
D,Pre,89,Kate rubbed the frog with the soap,rubbed,frog,soap,frogoar,Sentence,2,InstControl,katefrogsoap_nopauses.mp3,katefrogsoapinstleft2_context.png,katefrogsoapmodright2_context.png,katefrogsoapmodright2_context.png,katefrogsoapinstleft2_context.png,2,mod,inst,R,L,370,2593,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogsoapmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogsoapinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefrogsoap_nopauses.mp3?raw=true,0.045005315
D,Pre,131,Kate slapped the buffalo with the notebook,slapped,buffalo,notebook,buffalomallet,Sentence,2,InstControl,katebuffalonotebook_nopauses.mp3,katebuffalonotebookinstright2_context.png,katebuffalonotebookmodleft2_context.png,katebuffalonotebookinstright2_context.png,katebuffalonotebookmodleft2_context.png,1,inst,mod,L,R,396,2968,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalonotebookinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalonotebookmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katebuffalonotebook_nopauses.mp3?raw=true,0.058591768
D,Pre,102,Tom crushed the turtle with the flower,crushed,turtle,flower,turtleladle,Sentence,2,InstControl,tomturtleflower_nopauses.mp3,tomturtleflowerinstleft2_context.png,tomturtleflowermodright2_context.png,tomturtleflowermodright2_context.png,tomturtleflowerinstleft2_context.png,2,mod,inst,R,L,558,2885,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomturtleflowermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomturtleflowerinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomturtleflower_nopauses.mp3?raw=true,0.060003578
D,Pre,82,Tom jabbed the gorilla with the carrot,jabbed,gorilla,carrot,gorillamallet,Sentence,2,InstControl,tomgorillacarrot_nopauses.mp3,tomgorillacarrotinstleft2_context.png,tomgorillacarrotmodright2_context.png,tomgorillacarrotmodright2_context.png,tomgorillacarrotinstleft2_context.png,2,mod,inst,R,L,656,3241,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillacarrotmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillacarrotinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgorillacarrot_nopauses.mp3?raw=true,0.060438285
D,Pre,45,Kate hammered the whale with the horseshoe,hammered,whale,horseshoe,whaletennisracket,Sentence,2,InstControl,katewhalehorseshoe_nopauses.mp3,katewhalehorseshoeinstleft2_context.png,katewhalehorseshoemodright2_context.png,katewhalehorseshoemodright2_context.png,katewhalehorseshoeinstleft2_context.png,2,mod,inst,R,L,397,2794,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhalehorseshoemodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katewhalehorseshoeinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katewhalehorseshoe_nopauses.mp3?raw=true,0.073211307
D,Pre,28,Tom knocked on the lion with the tomato,knocked on,lion,tomato,lionladle,Sentence,2,InstControl,tomliontomato_nopauses.mp3,tomliontomatoinstleft2_context.png,tomliontomatomodright2_context.png,tomliontomatomodright2_context.png,tomliontomatoinstleft2_context.png,2,mod,inst,R,L,570,3218,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomliontomatomodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomliontomatoinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomliontomato_nopauses.mp3?raw=true,0.076964647
D,Pre,13,Kate hit the dolphin with the oven mitt,hit,dolphin,oven mitt,dolphinoar,Sentence,2,InstControl,katedolphinovenmitt_nopauses.mp3,katedolphinovenmittinstleft2_context.png,katedolphinovenmittmodright2_context.png,katedolphinovenmittmodright2_context.png,katedolphinovenmittinstleft2_context.png,2,mod,inst,R,L,413,2362,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinovenmittmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphinovenmittinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katedolphinovenmitt_nopauses.mp3?raw=true,0.103678599
D,Pre,39,Kate hammered the fox with the rock,hammered,fox,rock,foxoar,Sentence,2,InstControl,katefoxrock_nopauses.mp3,katefoxrockinstleft2_context.png,katefoxrockmodright2_context.png,katefoxrockmodright2_context.png,katefoxrockinstleft2_context.png,2,mod,inst,R,L,374,2704,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxrockmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxrockinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefoxrock_nopauses.mp3?raw=true,0.105461191
