Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
B,Pre,139,Kate smashed the pig with the flower pot,smashed,pig,flower pot,pigtennisracket,Sentence,2,Inst,katepigflowerpot_nopauses.mp3,katepigflowerpotinstleft2_context.png,katepigflowerpotmodright2_context.png,katepigflowerpotmodright2_context.png,katepigflowerpotinstleft2_context.png,2,mod,inst,R,L,389,3262,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigflowerpotmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigflowerpotinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepigflowerpot_nopauses.mp3?raw=true,0.008685024
B,Pre,131,Kate slapped the buffalo with the notebook,slapped,buffalo,notebook,buffalomallet,Sentence,2,Inst,katebuffalonotebook_nopauses.mp3,katebuffalonotebookinstright2_context.png,katebuffalonotebookmodleft2_context.png,katebuffalonotebookinstright2_context.png,katebuffalonotebookmodleft2_context.png,1,inst,mod,L,R,396,2968,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalonotebookinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalonotebookmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katebuffalonotebook_nopauses.mp3?raw=true,0.01685155
B,Pre,127,Kate slapped the pig with the notebook,slapped,pig,notebook,pigmallet,Sentence,2,Inst,katepignotebook_nopauses.mp3,katepignotebookinstright2_context.png,katepignotebookmodleft2_context.png,katepignotebookinstright2_context.png,katepignotebookmodleft2_context.png,1,inst,mod,L,R,397,3027,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepignotebookinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepignotebookmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepignotebook_nopauses.mp3?raw=true,0.018349042
B,Pre,82,Tom jabbed the gorilla with the carrot,jabbed,gorilla,carrot,gorillamallet,Sentence,2,Inst,tomgorillacarrot_nopauses.mp3,tomgorillacarrotinstleft2_context.png,tomgorillacarrotmodright2_context.png,tomgorillacarrotmodright2_context.png,tomgorillacarrotinstleft2_context.png,2,mod,inst,R,L,656,3241,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillacarrotmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgorillacarrotinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgorillacarrot_nopauses.mp3?raw=true,0.022101492
B,Pre,24,Tom hit the hawk with the ball,hit,hawk,ball,hawktennisracket,Sentence,2,Inst,tomhawkball_nopauses.mp3,tomhawkballinstright2_context.png,tomhawkballmodleft2_context.png,tomhawkballinstright2_context.png,tomhawkballmodleft2_context.png,1,inst,mod,L,R,582,2259,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawkballinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawkballmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomhawkball_nopauses.mp3?raw=true,0.027955796
B,Pre,98,Tom crushed the cow with the flower,crushed,cow,flower,cowladle,Sentence,2,Inst,tomcowflower_nopauses.mp3,tomcowflowerinstleft2_context.png,tomcowflowermodright2_context.png,tomcowflowermodright2_context.png,tomcowflowerinstleft2_context.png,2,mod,inst,R,L,576,2878,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomcowflowermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomcowflowerinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomcowflower_nopauses.mp3?raw=true,0.030695519
B,Pre,89,Kate rubbed the frog with the soap,rubbed,frog,soap,frogoar,Sentence,2,Inst,katefrogsoap_nopauses.mp3,katefrogsoapinstleft2_context.png,katefrogsoapmodright2_context.png,katefrogsoapmodright2_context.png,katefrogsoapinstleft2_context.png,2,mod,inst,R,L,370,2593,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogsoapmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefrogsoapinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefrogsoap_nopauses.mp3?raw=true,0.050360901
B,Pre,25,Kate knocked on the dolphin with the tomato,knocked on,dolphin,tomato,dolphinladle,Sentence,2,Inst,katedolphintomato_nopauses.mp3,katedolphintomatoinstright2_context.png,katedolphintomatomodleft2_context.png,katedolphintomatoinstright2_context.png,katedolphintomatomodleft2_context.png,1,inst,mod,L,R,398,3028,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphintomatoinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katedolphintomatomodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katedolphintomato_nopauses.mp3?raw=true,0.07861494
B,Pre,56,Tom tapped the girl with the boots,tapped,girl,boots,girlmallet,Sentence,2,Inst,tomgirlboots_nopauses.mp3,tomgirlbootsinstleft2_context.png,tomgirlbootsmodright2_context.png,tomgirlbootsmodright2_context.png,tomgirlbootsinstleft2_context.png,2,mod,inst,R,L,523,2548,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirlbootsmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomgirlbootsinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomgirlboots_nopauses.mp3?raw=true,0.078647828
B,Pre,15,Kate hit the fox with the oven mitt,hit,fox,oven mitt,foxoar,Sentence,2,Inst,katefoxovenmitt_nopauses.mp3,katefoxovenmittinstleft2_context.png,katefoxovenmittmodright2_context.png,katefoxovenmittmodright2_context.png,katefoxovenmittinstleft2_context.png,2,mod,inst,R,L,426,2369,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxovenmittmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katefoxovenmittinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katefoxovenmitt_nopauses.mp3?raw=true,0.081762196
B,Pre,119,Kate stung the buffalo with the cactus,stung,buffalo,cactus,buffalotennisracket,Sentence,2,Inst,katebuffalocactus_nopauses.mp3,katebuffalocactusinstleft2_context.png,katebuffalocactusmodright2_context.png,katebuffalocactusmodright2_context.png,katebuffalocactusinstleft2_context.png,2,mod,inst,R,L,335,3187,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalocactusmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katebuffalocactusinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katebuffalocactus_nopauses.mp3?raw=true,0.088206965
B,Pre,132,Tom slapped the hawk with the notebook,slapped,hawk,notebook,hawkmallet,Sentence,2,Inst,tomhawknotebook_nopauses.mp3,tomhawknotebookinstleft2_context.png,tomhawknotebookmodright2_context.png,tomhawknotebookmodright2_context.png,tomhawknotebookinstleft2_context.png,2,mod,inst,R,L,585,2979,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawknotebookmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/tomhawknotebookinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/tomhawknotebook_nopauses.mp3?raw=true,0.096523902
B,Pre,115,Kate stung the pig with the cactus,stung,pig,cactus,pigtennisracket,Sentence,2,Inst,katepigcactus_nopauses.mp3,katepigcactusinstleft2_context.png,katepigcactusmodright2_context.png,katepigcactusmodright2_context.png,katepigcactusinstleft2_context.png,2,mod,inst,R,L,368,2660,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigcactusmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_pre/katepigcactusinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_pre/katepigcactus_nopauses.mp3?raw=true,0.097316359
